,date,NOx,NO_2,NOx
782,19.12.2011,46,55,126
783,20.12.2011,76,73,188
784,21.12.2011,27,48,89
785,22.12.2011,91,71,210
786,23.12.2011,67,60,161
787,24.12.2011,16,28,53
788,25.12.2011,23,30,65
789,26.12.2011,19,29,58
790,27.12.2011,29,44,88
791,28.12.2011,65,61,160
792,29.12.2011,28,38,82
793,30.12.2011,25,40,78
794,31.12.2011,52,52,131
795,01.01.2012,55,50,134
796,02.01.2012,33,53,103
797,03.01.2012,38,44,102
798,04.01.2012,21,34,67
799,05.01.2012,19,30,59
800,06.01.2012,19,36,64
801,07.01.2012,18,29,57
802,08.01.2012,12,23,41
803,09.01.2012,42,48,112
804,10.01.2012,17,38,63
805,11.01.2012,30,46,92
806,12.01.2012,22,34,67
807,13.01.2012,13,28,47
808,14.01.2012,9,26,40
809,15.01.2012,35,43,96
810,16.01.2012,40,55,116
811,17.01.2012,21,48,81
812,18.01.2012,73,79,191
813,19.01.2012,48,53,126
814,20.01.2012,27,45,86
815,21.01.2012,31,40,88
816,22.01.2012,12,22,41
817,23.01.2012,59,66,157
818,24.01.2012,86,83,216
819,25.01.2012,108,91,255
820,26.01.2012,105,84,245
821,27.01.2012,86,76,207
822,28.01.2012,69,65,171
823,29.01.2012,53,52,133
824,30.01.2012,59,62,152
825,31.01.2012,56,58,143
826,01.02.2012,62,56,150
827,02.02.2012,65,69,167
828,03.02.2012,64,76,173
829,04.02.2012,50,65,141
830,05.02.2012,82,67,192
831,06.02.2012,74,74,187
832,07.02.2012,52,66,146
833,08.02.2012,63,73,170
834,09.02.2012,39,55,114
835,10.02.2012,63,75,170
836,11.02.2012,59,73,162
837,12.02.2012,39,56,115
838,13.02.2012,49,65,139
839,14.02.2012,92,81,222
840,15.02.2012,10,21,36
841,16.02.2012,30,48,94
842,17.02.2012,16,39,64
843,18.02.2012,29,38,82
844,19.02.2012,15,26,49
845,20.02.2012,31,50,98
846,21.02.2012,38,57,115
847,22.02.2012,40,60,121
848,23.02.2012,23,40,74
849,24.02.2012,20,36,66
850,25.02.2012,9,21,35
851,26.02.2012,13,29,49
852,27.02.2012,51,69,147
853,28.02.2012,20,37,68
854,29.02.2012,23,38,73
855,01.03.2012,25,38,76
856,02.03.2012,36,54,110
857,03.03.2012,63,70,167
858,04.03.2012,51,52,129
859,05.03.2012,67,74,176
860,06.03.2012,66,76,177
861,07.03.2012,86,96,227
862,08.03.2012,31,50,97
863,09.03.2012,44,66,134
864,10.03.2012,21,39,71
865,11.03.2012,8,20,32
866,12.03.2012,14,35,56
867,13.03.2012,15,39,62
868,14.03.2012,18,43,70
869,15.03.2012,84,80,208
870,16.03.2012,147,127,352
871,17.03.2012,49,75,149
872,18.03.2012,32,50,98
873,19.03.2012,16,34,58
874,20.03.2012,28,51,94
875,21.03.2012,30,52,98
876,22.03.2012,41,70,132
877,23.03.2012,73,96,207
878,24.03.2012,44,60,127
879,25.03.2012,23,32,67
880,26.03.2012,74,86,198
